Year,GROUP,Population,Male Population,Female Population,Total Population,Total Male Population,Total Female Population,Pop %,Male Pop %,Female Pop %
2019,10,1049115,522776,526339,5034282,2511252,2523030,20.839416623860163,20.817345292308378,20.861384922097635
2019,11,1027632,512319,515313,5034282,2511252,2523030,20.41268248381795,20.40093945171572,20.424370697137967
2019,12,1003535,500364,503171,5034282,2511252,2523030,19.93402435540957,19.92488209068624,19.943123942244046
2019,13,983409,490567,492842,5034282,2511252,2523030,19.534245399840533,19.53475796136748,19.533735231051555
2019,14,970591,485226,485365,5034282,2511252,2523030,19.27963113707178,19.322075203922186,19.237385207468797
2020,10,1066161,530691,535470,5125383,2553538,2571845,20.8015869253088,20.782576957930527,20.82046157525045
2020,11,1048073,522022,526051,5125383,2553538,2571845,20.448676713525604,20.44308719901564,20.454226440551434
2020,12,1026579,511559,515020,5125383,2553538,2571845,20.029312931345814,20.033341974938303,20.025312567436995
2020,13,1002437,499581,502856,5125383,2553538,2571845,19.558284717454285,19.564267302855882,19.552344717508248
2020,14,982133,489685,492448,5125383,2553538,2571845,19.162138712365497,19.176726565259653,19.147654699252872
2021,10,1072515,535072,537443,5212148,2596413,2615735,20.57721691709445,20.608123592047953,20.54653854461557
2021,11,1065330,530103,535227,5212148,2596413,2615735,20.439365881398608,20.416744177447885,20.461820482579466
2021,12,1047236,521430,525806,5212148,2596413,2615735,20.09221534000953,20.082706410728957,20.10165402840884
2021,13,1025691,510941,514750,5212148,2596413,2615735,19.67885409240106,19.678725996210925,19.67898124236591
2021,14,1001376,498867,502509,5212148,2596413,2615735,19.21234776909635,19.21369982356428,19.211005702030214
2022,10,1061407,529452,531955,5269143,2624907,2644236,20.143826045336024,20.170314605431734,20.117531112956634
2022,11,1071830,534589,537241,5269143,2624907,2644236,20.341638099402502,20.366016776975336,20.317437626596114
2022,12,1064639,529617,535022,5269143,2624907,2644236,20.205164293320564,20.176600542419216,20.23351924714738
2022,13,1046494,520918,525576,5269143,2624907,2644236,19.860800893048452,19.845198325121615,19.876289408358407
2022,14,1024773,510331,514442,5269143,2624907,2644236,19.448570668892454,19.441869750052096,19.455222604941465
2019,15,958427,479420,479007,4717176,2346963,2370213,20.317813030508084,20.42725002481931,20.209449530485234
2019,16,947368,472901,474467,4717176,2346963,2370213,20.083371915739416,20.149486804862285,20.01790556376157
2019,17,938183,467299,470884,4717176,2346963,2370213,19.888657959762366,19.91079535552968,19.86673771513362
2019,18,931160,461438,469722,4717176,2346963,2370213,19.739776510352804,19.661068367929108,19.81771258532461
2019,19,942038,465905,476133,4717176,2346963,2370213,19.97038058363733,19.851399446859624,20.088194605294966
2020,15,969665,484086,485579,4742338,2358499,2383839,20.446982058216854,20.525173001981344,20.369622277343396
2020,16,957861,477790,480071,4742338,2358499,2383839,20.1980752953501,20.25822355659256,20.138566404862072
2020,17,946826,471274,475552,4742338,2358499,2383839,19.965384162832763,19.981946144560588,19.948998233521642
2020,18,937557,465628,471929,4742338,2358499,2383839,19.76993204617638,19.742556600617597,19.797016493144042
2020,19,930429,459721,470708,4742338,2358499,2383839,19.619626437423904,19.49210069624791,19.745796591128848
2021,15,981496,488837,492659,4792566,2383341,2409225,20.479551038003443,20.510577378562278,20.4488580352603
2021,16,969539,483067,486472,4792566,2383341,2409225,20.230060472823954,20.26848025523834,20.192053461175274
2021,17,957722,476755,480967,4792566,2383341,2409225,19.98349109850548,20.003641946326606,19.963556745426434
2021,18,946596,470190,476406,4792566,2383341,2409225,19.751339887651,19.728188286946768,19.774242754412725
2021,19,937213,464492,472721,4792566,2383341,2409225,19.55555750301613,19.489112132926007,19.621289003725263
2022,15,1000956,498246,502710,4856401,2414096,2442305,20.611065684238184,20.639030096566167,20.583424265192104
2022,16,981631,488153,493478,4856401,2414096,2442305,20.213137259464364,20.22094398897144,20.20542069888896
2022,17,969634,482352,487282,4856401,2414096,2442305,19.966102469709565,19.980646999953606,19.95172593103646
2022,18,957714,475983,481731,4856401,2414096,2442305,19.720653216239764,19.71682153485197,19.724440641115667
2022,19,946466,469362,477104,4856401,2414096,2442305,19.489041370348126,19.442557379656815,19.534988463766812
