district,Sex,Age,month of estimation,population
 MP - Ehlanzeni District Municipality (DC32),Female,0-4,2019-07-31,98529.01736995735
 MP - Ehlanzeni District Municipality (DC32),Female,10-14,2019-07-31,95890.77719604132
 MP - Ehlanzeni District Municipality (DC32),Female,15-19,2019-07-31,81308.17299896237
 MP - Ehlanzeni District Municipality (DC32),Female,18-34,2019-07-31,238030.52204418788
 MP - Ehlanzeni District Municipality (DC32),Female,35-49,2019-07-31,173264.30276188464
 MP - Ehlanzeni District Municipality (DC32),Female,5-9,2019-07-31,99234.61369144128
 MP - Ehlanzeni District Municipality (DC32),Female,50-59,2019-07-31,76800.77749816587
 MP - Ehlanzeni District Municipality (DC32),Female,60+,2019-07-31,89527.83616285313
 MP - Ehlanzeni District Municipality (DC32),Male,0-4,2019-07-31,100618.02725383312
 MP - Ehlanzeni District Municipality (DC32),Male,10-14,2019-07-31,95845.05102523566
 MP - Ehlanzeni District Municipality (DC32),Male,15-19,2019-07-31,79835.39334712806
 MP - Ehlanzeni District Municipality (DC32),Male,18-34,2019-07-31,228097.8951065417
 MP - Ehlanzeni District Municipality (DC32),Male,35-49,2019-07-31,147146.10189751314
 MP - Ehlanzeni District Municipality (DC32),Male,5-9,2019-07-31,100328.14443184777
 MP - Ehlanzeni District Municipality (DC32),Male,50-59,2019-07-31,52723.57664524303
 MP - Ehlanzeni District Municipality (DC32),Male,60+,2019-07-31,50279.17908176588
EC - Alfred Nzo District Municipality (DC44),Female,0-4,2019-07-31,56012.07455589952
EC - Alfred Nzo District Municipality (DC44),Female,10-14,2019-07-31,54977.512623382485
EC - Alfred Nzo District Municipality (DC44),Female,15-19,2019-07-31,44172.63321316173
EC - Alfred Nzo District Municipality (DC44),Female,18-34,2019-07-31,109858.00243481208
EC - Alfred Nzo District Municipality (DC44),Female,35-49,2019-07-31,58530.854827565636
EC - Alfred Nzo District Municipality (DC44),Female,5-9,2019-07-31,56929.65596611002
EC - Alfred Nzo District Municipality (DC44),Female,50-59,2019-07-31,29367.30049989665
EC - Alfred Nzo District Municipality (DC44),Female,60+,2019-07-31,53241.280029574016
EC - Alfred Nzo District Municipality (DC44),Male,0-4,2019-07-31,56429.27585004513
EC - Alfred Nzo District Municipality (DC44),Male,10-14,2019-07-31,53654.35149893351
EC - Alfred Nzo District Municipality (DC44),Male,15-19,2019-07-31,41810.55286829581
EC - Alfred Nzo District Municipality (DC44),Male,18-34,2019-07-31,80909.44012375722
EC - Alfred Nzo District Municipality (DC44),Male,35-49,2019-07-31,34114.958030036854
EC - Alfred Nzo District Municipality (DC44),Male,5-9,2019-07-31,56809.85359447065
EC - Alfred Nzo District Municipality (DC44),Male,50-59,2019-07-31,13767.331410967672
EC - Alfred Nzo District Municipality (DC44),Male,60+,2019-07-31,25465.549976244016
EC - Amathole District Municipality (DC12),Female,0-4,2019-07-31,41641.50966087725
EC - Amathole District Municipality (DC12),Female,10-14,2019-07-31,45544.510459365345
EC - Amathole District Municipality (DC12),Female,15-19,2019-07-31,33878.72494839611
EC - Amathole District Municipality (DC12),Female,18-34,2019-07-31,83123.06216359473
EC - Amathole District Municipality (DC12),Female,35-49,2019-07-31,59050.736385659504
EC - Amathole District Municipality (DC12),Female,5-9,2019-07-31,47137.469856140226
EC - Amathole District Municipality (DC12),Female,50-59,2019-07-31,38525.36547121787
EC - Amathole District Municipality (DC12),Female,60+,2019-07-31,73161.3111731381
EC - Amathole District Municipality (DC12),Male,0-4,2019-07-31,43113.97596965032
EC - Amathole District Municipality (DC12),Male,10-14,2019-07-31,48891.469417878485
EC - Amathole District Municipality (DC12),Male,15-19,2019-07-31,37683.006058230734
EC - Amathole District Municipality (DC12),Male,18-34,2019-07-31,92558.47007355196
EC - Amathole District Municipality (DC12),Male,35-49,2019-07-31,53256.124856894996
EC - Amathole District Municipality (DC12),Male,5-9,2019-07-31,49573.35321745991
EC - Amathole District Municipality (DC12),Male,50-59,2019-07-31,20734.363902903082
EC - Amathole District Municipality (DC12),Male,60+,2019-07-31,32789.45538883945
EC - Buffalo City Metropolitan Municipality,Female,0-4,2019-07-31,29229.54810313364
EC - Buffalo City Metropolitan Municipality,Female,10-14,2019-07-31,37238.841047025904
EC - Buffalo City Metropolitan Municipality,Female,15-19,2019-07-31,28561.45491042817
EC - Buffalo City Metropolitan Municipality,Female,18-34,2019-07-31,87762.10486342505
EC - Buffalo City Metropolitan Municipality,Female,35-49,2019-07-31,88369.63929488666
EC - Buffalo City Metropolitan Municipality,Female,5-9,2019-07-31,36046.96029733466
EC - Buffalo City Metropolitan Municipality,Female,50-59,2019-07-31,47738.54427402382
EC - Buffalo City Metropolitan Municipality,Female,60+,2019-07-31,58873.33705937919
EC - Buffalo City Metropolitan Municipality,Male,0-4,2019-07-31,30147.852486862517
EC - Buffalo City Metropolitan Municipality,Male,10-14,2019-07-31,38212.07847746015
EC - Buffalo City Metropolitan Municipality,Male,15-19,2019-07-31,29534.69560083336
EC - Buffalo City Metropolitan Municipality,Male,18-34,2019-07-31,92141.37965005191
EC - Buffalo City Metropolitan Municipality,Male,35-49,2019-07-31,85859.32733572194
EC - Buffalo City Metropolitan Municipality,Male,5-9,2019-07-31,37151.69964026791
EC - Buffalo City Metropolitan Municipality,Male,50-59,2019-07-31,35195.395078363435
EC - Buffalo City Metropolitan Municipality,Male,60+,2019-07-31,36496.51387234871
EC - Chris Hani District Municipality (DC13),Female,0-4,2019-07-31,37238.24962770272
EC - Chris Hani District Municipality (DC13),Female,10-14,2019-07-31,44000.023275593594
EC - Chris Hani District Municipality (DC13),Female,15-19,2019-07-31,32193.5413803941
EC - Chris Hani District Municipality (DC13),Female,18-34,2019-07-31,71189.49475308438
EC - Chris Hani District Municipality (DC13),Female,35-49,2019-07-31,55364.006218633964
EC - Chris Hani District Municipality (DC13),Female,5-9,2019-07-31,42871.458045839856
EC - Chris Hani District Municipality (DC13),Female,50-59,2019-07-31,35303.06815296718
EC - Chris Hani District Municipality (DC13),Female,60+,2019-07-31,68968.0503680386
EC - Chris Hani District Municipality (DC13),Male,0-4,2019-07-31,38271.141193752905
EC - Chris Hani District Municipality (DC13),Male,10-14,2019-07-31,46406.319991929675
EC - Chris Hani District Municipality (DC13),Male,15-19,2019-07-31,35698.63643186528
EC - Chris Hani District Municipality (DC13),Male,18-34,2019-07-31,81492.05048253285
EC - Chris Hani District Municipality (DC13),Male,35-49,2019-07-31,46683.42652823828
EC - Chris Hani District Municipality (DC13),Male,5-9,2019-07-31,44792.00799540043
EC - Chris Hani District Municipality (DC13),Male,50-59,2019-07-31,19618.940738916852
EC - Chris Hani District Municipality (DC13),Male,60+,2019-07-31,35432.22263674708
EC - Joe Gqabi District Municipality (DC14),Female,0-4,2019-07-31,18746.537088203597
EC - Joe Gqabi District Municipality (DC14),Female,10-14,2019-07-31,19477.98914308264
EC - Joe Gqabi District Municipality (DC14),Female,15-19,2019-07-31,14993.41306037266
EC - Joe Gqabi District Municipality (DC14),Female,18-34,2019-07-31,38799.282283462264
EC - Joe Gqabi District Municipality (DC14),Female,35-49,2019-07-31,26169.17163389925
EC - Joe Gqabi District Municipality (DC14),Female,5-9,2019-07-31,20276.84904279622
EC - Joe Gqabi District Municipality (DC14),Female,50-59,2019-07-31,14233.08120619884
EC - Joe Gqabi District Municipality (DC14),Female,60+,2019-07-31,28547.34998533895
EC - Joe Gqabi District Municipality (DC14),Male,0-4,2019-07-31,19457.554962056573
EC - Joe Gqabi District Municipality (DC14),Male,10-14,2019-07-31,20848.114115638364
EC - Joe Gqabi District Municipality (DC14),Male,15-19,2019-07-31,16290.263747597797
EC - Joe Gqabi District Municipality (DC14),Male,18-34,2019-07-31,40387.25300779507
EC - Joe Gqabi District Municipality (DC14),Male,35-49,2019-07-31,23780.96815620536
EC - Joe Gqabi District Municipality (DC14),Male,5-9,2019-07-31,21329.5179814915
EC - Joe Gqabi District Municipality (DC14),Male,50-59,2019-07-31,8732.581717412366
EC - Joe Gqabi District Municipality (DC14),Male,60+,2019-07-31,14592.03300924368
EC - Nelson Mandela Bay Metropolitan Municipality,Female,0-4,2019-07-31,44946.767212771534
EC - Nelson Mandela Bay Metropolitan Municipality,Female,10-14,2019-07-31,52807.583181199065
EC - Nelson Mandela Bay Metropolitan Municipality,Female,15-19,2019-07-31,41745.269064283704
EC - Nelson Mandela Bay Metropolitan Municipality,Female,18-34,2019-07-31,135026.69391806258
EC - Nelson Mandela Bay Metropolitan Municipality,Female,35-49,2019-07-31,139171.45552642204
EC - Nelson Mandela Bay Metropolitan Municipality,Female,5-9,2019-07-31,52007.91268094735
EC - Nelson Mandela Bay Metropolitan Municipality,Female,50-59,2019-07-31,73054.72009890401
EC - Nelson Mandela Bay Metropolitan Municipality,Female,60+,2019-07-31,91713.50129957497
EC - Nelson Mandela Bay Metropolitan Municipality,Male,0-4,2019-07-31,44984.042917210594
EC - Nelson Mandela Bay Metropolitan Municipality,Male,10-14,2019-07-31,51323.30872765203
EC - Nelson Mandela Bay Metropolitan Municipality,Male,15-19,2019-07-31,40578.648852802384
EC - Nelson Mandela Bay Metropolitan Municipality,Male,18-34,2019-07-31,136630.38226368904
EC - Nelson Mandela Bay Metropolitan Municipality,Male,35-49,2019-07-31,131022.56188194046
EC - Nelson Mandela Bay Metropolitan Municipality,Male,5-9,2019-07-31,51733.616356990606
EC - Nelson Mandela Bay Metropolitan Municipality,Male,50-59,2019-07-31,57473.102704280354
EC - Nelson Mandela Bay Metropolitan Municipality,Male,60+,2019-07-31,61835.554492477604
EC - Sarah Baartman District Municipality (DC10),Female,0-4,2019-07-31,18811.734395862608
EC - Sarah Baartman District Municipality (DC10),Female,10-14,2019-07-31,22878.35427074563
EC - Sarah Baartman District Municipality (DC10),Female,15-19,2019-07-31,17784.125251838876
EC - Sarah Baartman District Municipality (DC10),Female,18-34,2019-07-31,54604.926820815526
EC - Sarah Baartman District Municipality (DC10),Female,35-49,2019-07-31,48070.31398587389
EC - Sarah Baartman District Municipality (DC10),Female,5-9,2019-07-31,22679.749655613607
EC - Sarah Baartman District Municipality (DC10),Female,50-59,2019-07-31,24790.365910973567
EC - Sarah Baartman District Municipality (DC10),Female,60+,2019-07-31,31717.090514062293
EC - Sarah Baartman District Municipality (DC10),Male,0-4,2019-07-31,19303.531965041475
EC - Sarah Baartman District Municipality (DC10),Male,10-14,2019-07-31,23540.63958144599
EC - Sarah Baartman District Municipality (DC10),Male,15-19,2019-07-31,18307.487386678302
EC - Sarah Baartman District Municipality (DC10),Male,18-34,2019-07-31,61797.0135701644
EC - Sarah Baartman District Municipality (DC10),Male,35-49,2019-07-31,49242.35094917465
EC - Sarah Baartman District Municipality (DC10),Male,5-9,2019-07-31,23546.523180135693
EC - Sarah Baartman District Municipality (DC10),Male,50-59,2019-07-31,19650.579828913447
EC - Sarah Baartman District Municipality (DC10),Male,60+,2019-07-31,21644.551947942433
EC- OR Tambo (DC15),Female,0-4,2019-07-31,98723.75659336132
EC- OR Tambo (DC15),Female,10-14,2019-07-31,91901.6523708374
EC- OR Tambo (DC15),Female,15-19,2019-07-31,74561.84226026345
EC- OR Tambo (DC15),Female,18-34,2019-07-31,194000.08502520726
EC- OR Tambo (DC15),Female,35-49,2019-07-31,109249.96951682432
EC- OR Tambo (DC15),Female,5-9,2019-07-31,96016.67331841556
EC- OR Tambo (DC15),Female,50-59,2019-07-31,52054.29560750426
EC- OR Tambo (DC15),Female,60+,2019-07-31,82151.00723624742
EC- OR Tambo (DC15),Male,0-4,2019-07-31,101740.3036289824
EC- OR Tambo (DC15),Male,10-14,2019-07-31,94592.71696827147
EC- OR Tambo (DC15),Male,15-19,2019-07-31,76135.79537154242
EC- OR Tambo (DC15),Male,18-34,2019-07-31,191070.8581815431
EC- OR Tambo (DC15),Male,35-49,2019-07-31,82476.17493253386
EC- OR Tambo (DC15),Male,5-9,2019-07-31,99701.88094168899
EC- OR Tambo (DC15),Male,50-59,2019-07-31,24933.60956201316
EC- OR Tambo (DC15),Male,60+,2019-07-31,37230.60090761323
